Major,Total,Employed,Unemployed,Unemployment_rate,Median,P25th,P75th
COMMUNICATION TECHNOLOGIES,62141,49609,4609,0.085008669,50000,34500,75000
COMPUTER AND INFORMATION SYSTEMS,253782,218248,11945,0.051891239,65000,45000,90000
COMPUTER PROGRAMMING AND DATA PROCESSING,29317,22828,2265,0.090264217,60000,40000,85000
COMPUTER SCIENCE,783292,656372,34196,0.049518657,78000,51000,105000
INFORMATION SCIENCES,77805,66393,3704,0.052841063,68000,46200,95000
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,39362,32366,2626,0.075045725,55000,40000,80000
COMPUTER NETWORKING AND TELECOMMUNICATIONS,51771,44071,2748,0.05869412,55000,36000,80000
MATHEMATICS,432806,280902,15701,0.05293608,66000,42000,1.00E+05
APPLIED MATHEMATICS,19112,15136,892,0.055652608,70000,47000,106000
STATISTICS AND DECISION SCIENCE,24806,18808,1138,0.057054046,70000,43000,102000
MATHEMATICS AND COMPUTER SCIENCE,7184,5874,150,0.024900398,92000,53000,136000
