Company,Laid Off,Date
Intel,22000,4/23/2025
Zopper,100,4/17/2025
Turo,150,4/16/2025
AppLovin,97,4/16/2025
Smashing,7,4/16/2025
GupShup,200,4/15/2025
Forto,200,4/12/2025
Five9,123,4/3/2025
Automattic,281,4/2/2025
Canva,10,4/2/2025
Northvolt,2800,3/31/2025
Palantir,120,3/27/2025
Block,931,3/25/2025
Niantic,68,3/25/2025
Prefect,20,3/25/2025
Brightcove,198,3/19/2025
Acxiom,130,3/19/2025
HelloFresh,273,3/17/2025
Otorio,45,3/17/2025
ActiveFence,22,3/13/2025
D-ID,22,3/10/2025
Wayfair ,340,3/7/2025
Hewlett Packard Enterprise,2500,3/6/2025
TikTok,300,3/6/2025
LiveRamp,65,3/5/2025
Ola Electric,1000,3/3/2025
HP,2000,2/28/2025
Grubhub,500,2/28/2025
Autodesk,1350,2/27/2025
Digimarc,90,2/27/2025
Flywire,125,2/26/2025
eBay,20,2/26/2025
Skybox Security,300,2/24/2025
Ibotta,70,2/22/2025
Zendesk,51,2/21/2025
SeatGeek,150,2/20/2025
Vendease,120,2/19/2025
Logically,40,2/17/2025
Blue Origin,1000,2/13/2025
Metro Africa Xpress,150,2/13/2025
Redfin,450,2/12/2025
Zepz,200,2/12/2025
Meta,3600,2/10/2025
Wise,300,2/10/2025
Justworks,200,2/10/2025
MessageBird,120,2/10/2025
Sprinklr,500,2/6/2025
Workday,1750,2/5/2025
Outbrain,200,2/5/2025
Sonos,200,2/5/2025
SRTX,140,2/5/2025
Tabnine,15,2/5/2025
Hugging Face,10,2/5/2025
Cruise,1000,2/4/2025
Okta,180,2/4/2025
AppsFlyer,100,2/4/2025
Asana,100,2/4/2025
TripAdvisor,75,2/4/2025
Intel,58,2/4/2025
Salesforce,1000,2/3/2025
Sure,70,2/3/2025
Placer.ai,150,1/29/2025
Digital River,122,1/28/2025
Stripe,300,1/21/2025
Unbabel,66,1/20/2025
Chrono24,110,1/16/2025
Pocket FM,75,1/16/2025
Aurora Solar,58,1/16/2025
HeyJobs,90,1/15/2025
AppLovin,89,1/15/2025
ShareChat,27,1/15/2025
Textio,15,1/15/2025
Wayfair,730,1/10/2025
Pandion,63,1/10/2025
Icon,114,1/9/2025
Redfin,46,1/9/2025
Altruist,37,1/7/2025
SolarEdge,400,1/6/2025
GupShup,300,12/31/2024
Bench,450,12/27/2024
Lilium,1000,12/23/2024
Foundry,74,12/11/2024
Calendly,70,12/11/2024
Canoo,20,12/11/2024
Bluevine,100,12/10/2024
Carousell,76,12/6/2024
Circle,50,12/5/2024
Stash,88,12/4/2024
Booking Holdings,60,12/4/2024
Skai,80,12/3/2024
Lightspeed Commerce,200,12/2/2024
Kobo360,30,11/30/2024
Klub,60,11/29/2024
SolarEdge,500,11/27/2024
AlphaSense,150,11/27/2024
Ola Electric,500,11/22/2024
Adjust,304,11/22/2024
LinkedIn,202,11/21/2024
TrueLayer,71,11/15/2024
Better Collective,300,11/14/2024
Kuku FM,80,11/14/2024
AMD,1000,11/13/2024
AppLovin,120,11/13/2024
Chegg,319,11/12/2024
Forward,200,11/12/2024
Lyra Health,77,11/12/2024
Enphase Energy,500,11/11/2024
23andMe,200,11/11/2024
Sword Health,13,11/11/2024
Monarch Tractor,35,11/8/2024
Freshworks,660,11/7/2024
Just Eat,300,11/7/2024
Opendoor,300,11/7/2024
Akamai,250,11/7/2024
ShareFile,199,11/7/2024
Personio,115,11/7/2024
iRobot,105,11/6/2024
Outreach,67,11/6/2024
Incredibuild,18,11/4/2024
Atera,20,11/3/2024
Maven Clinic,60,11/1/2024
Dropbox,527,10/30/2024
Kraken,400,10/30/2024
Miro,275,10/30/2024
ConsenSys,163,10/29/2024
F5,100,10/29/2024
Coursera,150,10/25/2024
Catena Media,29,10/23/2024
Venminder,100,10/21/2024
Jellysmack,22,10/21/2024
Gigamon,69,10/15/2024
AppLovin,58,10/15/2024
Bytedance,500,10/11/2024
Nikola,130,10/11/2024
CareerBuilder + Monster,200,10/10/2024
BeepKart,130,10/8/2024
Eaze,500,10/7/2024
PubMatic,12,10/7/2024
AppLovin,65,10/3/2024
Tome,12,10/2/2024
ABBYY,200,10/1/2024
FreshBooks,140,10/1/2024
Vendease,68,9/30/2024
Marin Software,27,9/30/2024
Shein,17,9/30/2024
Drata,40,9/26/2024
Moov,50,9/25/2024
FreightWaves,16,9/24/2024
Northvolt,1600,9/23/2024
Healthy.io,40,9/22/2024
Reverb,40,9/20/2024
CarTrawler,40,9/19/2024
Spendesk,151,9/18/2024
Aakash,80,9/18/2024
Runtastic,170,9/16/2024
Microsoft,650,9/12/2024
Udemy,280,9/11/2024
Mobileye,100,9/9/2024
WeTransfer,260,9/8/2024
Center,8,9/7/2024
Goop,39,9/6/2024
ChargePoint,250,9/4/2024
Fly.io,40,9/4/2024
Lyft,30,9/4/2024
Dozee,40,9/2/2024
