work_year,salary_in_usd
2023,85847
2023,30000
2023,25500
2023,175000
2023,120000
2023,222200
2023,136000
2023,219000
2023,141000
2023,147100
2023,90700
2023,130000
2023,100000
2023,213660
2023,130760
2023,147100
2023,90700
2023,170000
2023,150000
2023,150000
2023,110000
2023,275000
2023,174000
2023,230000
2023,143200
2023,225000
2023,156400
2023,200000
2023,130000
2023,90000
2023,72000
2023,253200
2023,90700
2023,342810
2023,184590
2023,162500
2023,130000
2023,105380
2023,64500
2023,100000
2023,30000
2022,20984
2023,204620
2023,110680
2023,270703
2023,221484
2023,212750
2023,185000
2023,262000
2023,245000
2023,275300
2023,183500
2023,218500
2023,199098
2023,203300
2023,123600
2023,189110
2023,139000
2023,258750
2023,185000
2023,231500
2023,166000
2023,172500
2023,110500
2023,238000
2023,176000
2023,237000
2023,201450
2023,309400
2023,159100
2023,115000
2023,81500
2023,237000
2023,201450
2023,280000
2023,210000
2023,280100
2023,168100
2023,193500
2023,139000
2023,65062
2023,150000
2023,69751
2022,300000
2023,96578
2023,185900
2023,129300
2023,225000
2023,175000
2023,185000
2023,140000
2023,48289
2023,38631
2023,105000
2023,70000
2023,163196
2023,145885
2023,217000
2023,185000
2023,202800
2023,104300
2023,145000
2023,65000
2023,165000
2023,132300
2023,179170
2023,94300
2023,152500
2023,116450
2023,247300
2023,133800
2023,203000
2023,133000
2023,220000
2022,56536
2023,150000
2023,120000
2023,289800
2023,214000
2023,179820
2023,143860
2023,283200
2023,188800
2023,289800
2023,214200
2023,185900
2023,129300
2023,252000
2023,129000
2023,155000
2023,140000
2023,161800
2023,141600
2023,342300
2023,176100
2023,100000
2023,70000
2023,85000
2023,65000
2023,138784
2023,83270
2023,75000
2023,70000
2023,204500
2023,138900
2023,318300
2023,212200
2023,95000
2023,75000
2023,195000
2023,160000
2023,230000
2023,143200
2023,100000
2023,70000
2023,105000
2023,20670
2023,46178
2023,42533
2023,145000
2023,115000
2023,168400
2023,105200
2023,309400
2023,159100
2023,190000
2023,150000
2023,162500
2023,130000
2023,150000
2023,120000
2023,145000
2023,120000
2023,222200
2023,136000
2023,54685
2023,42533
2023,241000
2023,155000
2023,220000
2023,190000
2023,66837
2023,54685
2020,15000
2023,85066
2023,57723
2023,85000
2023,75000
2023,160000
2023,140000
2023,300000
2023,250000
2023,228000
2023,186000
2023,190000
2023,170000
2023,230000
2023,200000
2023,180000
2023,115000
2023,200000
2023,115000
2023,53654
2023,220000
2023,205000
2023,180000
2023,130000
2023,200000
2023,150000
2023,215000
2023,170000
2023,247500
2023,172200
2023,224000
2023,176000
2023,120000
2023,75000
2023,17022
2023,68318
2023,75020
2023,140000
2023,120000
2023,128000
2023,81500
2023,145000
2023,115000
2023,185000
2023,140000
2023,329500
2023,269600
2023,100000
2023,80000
2023,250000
2023,162500
2023,200000
2023,145000
2023,100000
2023,145000
2023,115000
2023,203500
2023,152000
2023,239000
2023,122900
2023,237000
2023,145000
2023,191765
2023,134236
2023,190000
2023,112000
2022,88256
2023,85000
2023,65000
2023,135000
2023,105500
2023,293000
2023,185000
2023,80000
2023,70000
2023,220000
2023,160000
2023,175000
2023,145000
2023,200000
2023,148500
2023,48289
2023,38631
2023,240500
2023,123700
2023,152900
2023,117100
2023,173000
2023,113000
2023,260000
2023,136000
2023,175000
2023,110000
2023,260000
2023,136000
2023,130000
2023,110000
2023,205000
2023,184000
2023,149500
2023,127075
2023,195000
2023,160000
2023,219535
2023,146115
2023,170000
2023,135000
2023,175000
2023,145000
2023,199000
2023,162000
2023,222200
2023,136000
2023,221000
2023,153000
2023,187000
2023,128000
2023,210000
2023,136000
2023,175000
2023,100000
2023,179000
2023,109000
2023,245000
2023,180000
2023,142000
2023,75000
2023,198800
2023,105200
2023,125000
2023,112000
2023,210000
2023,155000
2023,115000
2023,86000
2023,165000
2023,140000
2023,139000
2023,106000
2023,40663
2022,275000
2023,50000
2023,280700
2023,150450
2023,51753
2023,250500
2023,159500
2023,145000
2023,115000
2023,140000
2023,120000
2023,130001
2023,71907
2023,93918
2023,51962
2023,175000
2023,135000
2023,85000
2023,65000
2023,257000
2023,147000
2023,222000
2023,175000
2023,203000
2023,133200
